Altium Designer Pick and Place Locations
C:\Users\Victor Holanda\Documents\28Pins_Project_V1]1\BOM\Pick Place\Pick Place for 28Pins_Project_V1[1_PCB.(5V_3V3).txt

========================================================================================================================
File Design Information:

Date:       21/05/21
Time:       14:47
Revision:   5e75555ec9e27382c7edb27a4149d9886631ded5
Variant:    5V/3V3
Units used: mm

Designator    Comment                 Layer    Footprint                        Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                                                                                                               
"SCKT FOR U1" "28-DIP Socket"         TopLayer 28_DIP_7.62MM_SOCKET             -60.9600     -45.7200     90       "CONN IC DIP SOCKET 28POS TIN"                                                                                                                                                                                                                            
MH3           MH_7.4MMC_3.2MMD        TopLayer MH_7.4MMC_3.2MMD                 68.5800      36.1950      0        "Mounting Hole 7.4mm Diameter, 3.2mm Drill"                                                                                                                                                                                                               
MH2           MH_7.4MMC_3.2MMD        TopLayer MH_7.4MMC_3.2MMD                 68.5800      7.6200       0        "Mounting Hole 7.4mm Diameter, 3.2mm Drill"                                                                                                                                                                                                               
MH1           MH_7.4MMC_3.2MMD        TopLayer MH_7.4MMC_3.2MMD                 15.2400      2.5400       0        "Mounting Hole 7.4mm Diameter, 3.2mm Drill"                                                                                                                                                                                                               
C34           "10uF / 16V"            TopLayer C0805                            59.0550      34.1630      0        "CERAMIC CAPACITOR, 10UF, 16V, X5R, 20%, 0805, FULL REEL; Product Range:C Series; Capacitance:10 F; Capacitance Tolerance: 20%; Dielectric Characteristic:X5R; Voltage Rating:16V; Ceramic Capacitor Case:0805 [2012 Metric]; MSL:- ;RoHS Compliant: Yes" 
D1            Green                   TopLayer LED_0603                         59.1566      38.5064      0        "LED Uni-Color Green 572nm 2-Pin Chip 0603(1608Metric) T/R"                                                                                                                                                                                               
R17           560R                    TopLayer R0805                            59.0194      36.5252      180      "Surface Mount Thick Film Resistor, RC Series, 560 ohm, 125 mW, - 1%, 150 V, 0805 [2012 Metric]"                                                                                                                                                          
U6            SN74AHC1G09DBVR         TopLayer DBV_SDT_23_5                     66.8934      15.7124      270      "TEXAS INSTRUMENTS - SN74AHC1G09DBVR - AND Gate, 74AHC1G09, 2 Input, 2 V to 5.5 V, SOT-23-5"                                                                                                                                                              
R14           10k                     TopLayer R0805                            62.2300      22.9870      0        "RES SMD 10K OHM 1% 1/8W 0805"                                                                                                                                                                                                                            
C1            "100u / 10V"            TopLayer C_ALU_C_SIZE                     7.7724       11.9888      90       "Cap Aluminum 100uF 10V 20% (5 X 5.4mm) SMD 50mA 1000 hr 85°C T/R"                                                                                                                                                                                        
C2            "100u / 10V"            TopLayer C_ALU_C_SIZE                     7.8232       4.1148       90       "Cap Aluminum 100uF 10V 20% (5 X 5.4mm) SMD 50mA 1000 hr 85°C T/R"                                                                                                                                                                                        
